"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","1,841,665","250,741","2,552,972","1,153,082","13,005,097","2,139,207","1,356,762","357,937","281,475","7,689,964","3,745,074","458,078","625,135","4,808,672","2,557,299","1,257,505","1,128,983","1,725,034","1,737,123","540,959","2,207,343","2,604,954","3,930,017","2,162,211","1,091,980","2,385,135","423,091","754,490","1,094,613","528,700","3,218,798","767,705","7,304,332","3,955,069","316,306","4,667,192","1,470,364","1,603,635","5,008,751","408,748","1,905,100","344,260","2,588,655","9,623,874","975,448","256,629","3,120,880","2,840,377","715,308","2,350,293","225,796","1,191,305"
"    Less than $10,000","158,986","11,015","171,864","94,234","659,187","110,134","66,601","25,688","25,954","530,728","263,743","28,417","37,996","321,801","168,681","64,217","64,465","155,432","179,246","31,370","105,373","146,695","266,732","96,694","118,702","154,176","27,449","39,314","68,407","22,100","172,726","74,415","539,861","272,834","19,934","331,728","107,019","102,403","361,529","25,342","154,048","20,228","187,701","640,979","40,816","13,260","164,966","149,484","70,097","117,923","13,938","349,478"
"    $10,000 to $14,999","119,369","7,426","108,607","76,067","560,260","71,861","49,375","15,113","12,839","360,687","173,611","13,429","29,599","195,408","119,206","54,969","50,454","103,602","113,290","31,431","63,271","117,447","181,943","78,536","74,766","113,274","19,463","28,420","41,810","16,244","103,134","44,272","344,117","209,337","12,052","227,476","82,384","68,783","225,094","21,960","99,344","15,472","143,824","403,244","29,862","13,032","115,141","98,698","46,980","108,087","8,496","139,534"
"    $15,000 to $19,999","114,097","7,176","115,412","67,167","482,569","70,348","45,026","12,419","9,387","392,120","179,219","13,464","26,252","211,286","125,049","60,428","53,198","97,907","108,649","28,538","66,598","99,743","185,038","77,881","67,881","118,982","21,243","32,931","43,830","18,021","112,359","44,267","318,605","203,207","13,328","229,748","80,987","71,532","234,138","20,684","99,758","17,132","139,647","424,262","30,285","12,873","112,507","95,900","50,633","106,724","10,043","122,356"
"    $20,000 to $24,999","110,413","9,512","131,184","74,447","545,801","78,795","51,725","15,207","9,790","420,934","193,125","14,330","35,162","218,293","136,473","63,139","53,601","99,928","108,497","24,385","68,617","93,592","208,507","87,273","71,416","136,287","24,639","36,833","53,034","22,193","116,516","44,888","324,836","216,835","15,073","246,686","88,532","72,833","245,062","19,771","112,719","18,003","140,979","484,266","36,636","13,569","118,982","107,546","48,781","119,466","10,973","98,984"
"    $25,000 to $29,999","92,766","10,415","119,655","71,075","471,499","79,471","47,653","14,389","9,291","390,980","176,823","14,242","33,106","193,876","126,858","54,974","56,194","87,129","99,756","27,078","73,095","85,846","192,691","81,852","58,955","119,551","23,556","29,959","49,265","20,351","105,488","45,885","287,841","199,697","14,433","229,240","83,748","69,648","230,004","16,557","104,445","17,173","133,815","436,832","37,060","11,818","110,755","97,868","39,103","108,995","9,472","72,554"
"    $30,000 to $34,999","100,521","9,318","123,962","65,007","517,269","87,540","53,010","18,798","6,905","409,671","187,913","14,594","36,094","209,919","135,060","61,465","57,111","96,695","90,523","26,876","76,966","97,377","198,317","90,441","59,856","122,480","24,667","38,999","56,256","22,662","119,977","44,267","295,232","208,202","15,008","250,708","82,224","76,959","230,583","16,087","107,655","20,122","142,134","467,654","41,322","14,024","120,403","112,870","40,101","112,016","12,083","65,333"
"    $35,000 to $39,999","88,245","8,583","121,381","57,268","476,861","91,614","48,045","14,436","6,410","393,791","174,848","15,836","32,900","196,505","128,051","60,300","57,234","86,605","73,505","24,641","73,702","86,672","194,607","85,292","54,016","119,987","19,695","37,886","51,270","17,920","103,462","38,069","274,367","190,186","12,702","220,574","71,256","72,554","210,767","16,869","88,949","15,462","133,304","424,377","40,640","10,222","119,135","108,141","35,968","112,026","9,321","50,837"
"    $40,000 to $44,999","88,401","9,266","127,430","62,106","497,501","89,530","53,022","13,327","6,532","390,552","174,420","17,186","32,472","191,460","128,258","63,434","55,267","85,486","78,271","25,543","81,827","86,521","192,123","92,625","53,330","119,267","18,254","38,085","55,763","17,959","107,939","36,865","280,334","199,310","13,878","227,150","74,518","69,155","215,378","15,567","91,468","16,372","123,902","434,375","43,738","11,773","116,512","112,406","34,256","112,221","9,948","45,550"
"    $45,000 to $49,999","73,345","8,733","109,353","51,609","441,583","86,726","50,037","13,692","6,944","337,451","153,438","15,690","30,916","181,499","104,650","54,997","51,568","72,900","68,796","22,285","70,999","79,403","172,863","86,173","46,298","104,649","18,492","31,630","45,300","19,076","97,780","31,578","248,659","169,249","11,446","196,561","63,715","65,719","193,032","12,856","82,640","13,270","113,266","384,691","36,690","10,051","114,215","110,336","28,292","100,033","9,259","39,152"
"    $50,000 to $59,999","145,832","20,084","209,144","92,950","870,473","164,099","97,066","25,865","13,646","640,154","288,810","30,533","56,060","361,495","216,393","102,707","96,740","133,826","123,816","43,522","144,383","146,772","321,965","169,417","87,993","198,841","37,241","63,314","98,766","38,247","200,495","61,647","497,724","319,960","23,336","374,897","121,494","129,368","384,089","26,853","153,322","27,534","220,455","756,169","80,996","21,659","225,466","211,994","58,907","188,290","18,344","62,286"
"    $60,000 to $74,999","179,351","26,500","267,825","116,995","1,205,037","219,255","122,375","38,165","22,675","775,966","384,654","43,069","71,609","477,448","276,065","139,679","121,200","166,474","160,887","60,753","209,053","226,525","402,118","230,529","101,643","254,310","44,324","88,007","120,144","54,370","280,754","71,048","651,489","405,994","34,546","487,157","150,077","170,472","514,097","40,014","197,621","38,738","270,899","969,716","118,947","28,153","303,003","291,076","69,641","259,494","24,816","53,520"
"    $75,000 to $99,999","207,158","33,858","323,345","126,196","1,602,652","290,530","170,883","48,224","31,279","924,971","466,089","67,589","78,785","618,164","337,628","175,576","145,930","202,536","180,683","72,727","286,855","311,027","491,937","302,058","123,694","302,218","53,046","105,880","145,001","74,074","400,052","83,354","865,908","476,266","47,485","595,751","177,890","212,326","645,417","53,632","223,616","47,574","305,317","1,179,445","145,310","34,502","412,608","387,052","77,770","326,881","32,394","44,733"
"    $100,000 to $124,999","141,606","29,474","223,765","76,726","1,272,738","220,777","132,752","31,982","27,131","592,451","311,558","51,085","50,721","451,768","215,666","121,816","100,362","129,818","134,618","46,824","248,420","268,559","337,427","228,686","72,090","193,207","36,523","70,339","101,430","56,366","330,279","60,362","655,983","306,991","30,131","391,930","111,723","149,666","443,136","40,499","146,519","31,112","198,044","856,153","112,462","22,266","312,358","296,780","46,350","220,739","24,702","18,963"
"    $125,000 to $149,999","83,325","19,934","130,907","41,405","863,160","147,368","97,256","20,333","19,177","347,442","195,726","34,245","27,918","290,602","123,654","66,138","58,837","78,362","72,792","27,961","166,866","190,631","194,272","141,109","38,013","116,227","19,965","40,844","55,544","40,856","238,366","29,205","446,175","188,166","18,805","234,417","62,242","85,088","280,173","26,792","80,756","18,094","114,047","541,828","61,756","14,896","205,749","197,783","25,578","128,692","13,153","10,806"
"    $150,000 to $199,999","71,675","21,169","132,235","45,642","1,097,134","163,468","118,196","25,921","26,481","367,632","204,692","42,481","25,116","330,380","115,350","62,762","54,354","66,346","74,132","24,942","222,192","250,456","201,685","158,260","34,602","110,749","19,798","39,056","56,747","44,483","310,082","31,778","555,089","195,515","17,844","221,825","59,707","96,480","291,842","28,002","81,969","14,826","107,322","585,220","63,276","11,231","259,987","220,067","23,678","125,514","10,926","7,293"
"    $200,000 or more","66,575","18,278","136,903","34,188","1,441,373","167,691","153,740","24,378","47,034","414,434","216,405","41,888","20,429","358,768","100,257","50,904","52,468","61,988","69,662","22,083","249,126","317,688","187,792","155,385","28,725","100,930","14,736","32,993","52,046","43,778","419,389","25,805","718,112","193,320","16,305","201,344","52,848","90,649","304,410","27,263","80,271","13,148","113,999","634,663","55,652","13,300","309,093","242,376","19,173","103,192","7,928","9,926"