Label (Grouping),Alabama!!Owner-occupied housing units with a mortgage!!Estimate,Alabama!!Percent owner-occupied housing units with a mortgage!!Estimate,Alaska!!Owner-occupied housing units with a mortgage!!Estimate,Alaska!!Percent owner-occupied housing units with a mortgage!!Estimate,Arizona!!Owner-occupied housing units with a mortgage!!Estimate,Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate,Arkansas!!Owner-occupied housing units with a mortgage!!Estimate,Arkansas!!Percent owner-occupied housing units with a mortgage!!Estimate,California!!Owner-occupied housing units with a mortgage!!Estimate,California!!Percent owner-occupied housing units with a mortgage!!Estimate,Colorado!!Owner-occupied housing units with a mortgage!!Estimate,Colorado!!Percent owner-occupied housing units with a mortgage!!Estimate,Connecticut!!Owner-occupied housing units with a mortgage!!Estimate,Connecticut!!Percent owner-occupied housing units with a mortgage!!Estimate,Delaware!!Owner-occupied housing units with a mortgage!!Estimate,Delaware!!Percent owner-occupied housing units with a mortgage!!Estimate,District of Columbia!!Owner-occupied housing units with a mortgage!!Estimate,District of Columbia!!Percent owner-occupied housing units with a mortgage!!Estimate,Florida!!Owner-occupied housing units with a mortgage!!Estimate,Florida!!Percent owner-occupied housing units with a mortgage!!Estimate,Georgia!!Owner-occupied housing units with a mortgage!!Estimate,Georgia!!Percent owner-occupied housing units with a mortgage!!Estimate,Hawaii!!Owner-occupied housing units with a mortgage!!Estimate,Hawaii!!Percent owner-occupied housing units with a mortgage!!Estimate,Idaho!!Owner-occupied housing units with a mortgage!!Estimate,Idaho!!Percent owner-occupied housing units with a mortgage!!Estimate,Illinois!!Owner-occupied housing units with a mortgage!!Estimate,Illinois!!Percent owner-occupied housing units with a mortgage!!Estimate,Indiana!!Owner-occupied housing units with a mortgage!!Estimate,Indiana!!Percent owner-occupied housing units with a mortgage!!Estimate,Iowa!!Owner-occupied housing units with a mortgage!!Estimate,Iowa!!Percent owner-occupied housing units with a mortgage!!Estimate,Kansas!!Owner-occupied housing units with a mortgage!!Estimate,Kansas!!Percent owner-occupied housing units with a mortgage!!Estimate,Kentucky!!Owner-occupied housing units with a mortgage!!Estimate,Kentucky!!Percent owner-occupied housing units with a mortgage!!Estimate,Louisiana!!Owner-occupied housing units with a mortgage!!Estimate,Louisiana!!Percent owner-occupied housing units with a mortgage!!Estimate,Maine!!Owner-occupied housing units with a mortgage!!Estimate,Maine!!Percent owner-occupied housing units with a mortgage!!Estimate,Maryland!!Owner-occupied housing units with a mortgage!!Estimate,Maryland!!Percent owner-occupied housing units with a mortgage!!Estimate,Massachusetts!!Owner-occupied housing units with a mortgage!!Estimate,Massachusetts!!Percent owner-occupied housing units with a mortgage!!Estimate,Michigan!!Owner-occupied housing units with a mortgage!!Estimate,Michigan!!Percent owner-occupied housing units with a mortgage!!Estimate,Minnesota!!Owner-occupied housing units with a mortgage!!Estimate,Minnesota!!Percent owner-occupied housing units with a mortgage!!Estimate,Mississippi!!Owner-occupied housing units with a mortgage!!Estimate,Mississippi!!Percent owner-occupied housing units with a mortgage!!Estimate,Missouri!!Owner-occupied housing units with a mortgage!!Estimate,Missouri!!Percent owner-occupied housing units with a mortgage!!Estimate,Montana!!Owner-occupied housing units with a mortgage!!Estimate,Montana!!Percent owner-occupied housing units with a mortgage!!Estimate,Nebraska!!Owner-occupied housing units with a mortgage!!Estimate,Nebraska!!Percent owner-occupied housing units with a mortgage!!Estimate,Nevada!!Owner-occupied housing units with a mortgage!!Estimate,Nevada!!Percent owner-occupied housing units with a mortgage!!Estimate,New Hampshire!!Owner-occupied housing units with a mortgage!!Estimate,New Hampshire!!Percent owner-occupied housing units with a mortgage!!Estimate,New Jersey!!Owner-occupied housing units with a mortgage!!Estimate,New Jersey!!Percent owner-occupied housing units with a mortgage!!Estimate,New Mexico!!Owner-occupied housing units with a mortgage!!Estimate,New Mexico!!Percent owner-occupied housing units with a mortgage!!Estimate,New York!!Owner-occupied housing units with a mortgage!!Estimate,New York!!Percent owner-occupied housing units with a mortgage!!Estimate,North Carolina!!Owner-occupied housing units with a mortgage!!Estimate,North Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate,North Dakota!!Owner-occupied housing units with a mortgage!!Estimate,North Dakota!!Percent owner-occupied housing units with a mortgage!!Estimate,Ohio!!Owner-occupied housing units with a mortgage!!Estimate,Ohio!!Percent owner-occupied housing units with a mortgage!!Estimate,Oklahoma!!Owner-occupied housing units with a mortgage!!Estimate,Oklahoma!!Percent owner-occupied housing units with a mortgage!!Estimate,Oregon!!Owner-occupied housing units with a mortgage!!Estimate,Oregon!!Percent owner-occupied housing units with a mortgage!!Estimate,Pennsylvania!!Owner-occupied housing units with a mortgage!!Estimate,Pennsylvania!!Percent owner-occupied housing units with a mortgage!!Estimate,Rhode Island!!Owner-occupied housing units with a mortgage!!Estimate,Rhode Island!!Percent owner-occupied housing units with a mortgage!!Estimate,South Carolina!!Owner-occupied housing units with a mortgage!!Estimate,South Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate,South Dakota!!Owner-occupied housing units with a mortgage!!Estimate,South Dakota!!Percent owner-occupied housing units with a mortgage!!Estimate,Tennessee!!Owner-occupied housing units with a mortgage!!Estimate,Tennessee!!Percent owner-occupied housing units with a mortgage!!Estimate,Texas!!Owner-occupied housing units with a mortgage!!Estimate,Texas!!Percent owner-occupied housing units with a mortgage!!Estimate,Utah!!Owner-occupied housing units with a mortgage!!Estimate,Utah!!Percent owner-occupied housing units with a mortgage!!Estimate,Vermont!!Owner-occupied housing units with a mortgage!!Estimate,Vermont!!Percent owner-occupied housing units with a mortgage!!Estimate,Virginia!!Owner-occupied housing units with a mortgage!!Estimate,Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate,Washington!!Owner-occupied housing units with a mortgage!!Estimate,Washington!!Percent owner-occupied housing units with a mortgage!!Estimate,West Virginia!!Owner-occupied housing units with a mortgage!!Estimate,West Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate,Wisconsin!!Owner-occupied housing units with a mortgage!!Estimate,Wisconsin!!Percent owner-occupied housing units with a mortgage!!Estimate,Wyoming!!Owner-occupied housing units with a mortgage!!Estimate,Wyoming!!Percent owner-occupied housing units with a mortgage!!Estimate,Puerto Rico!!Owner-occupied housing units with a mortgage!!Estimate,Puerto Rico!!Percent owner-occupied housing units with a mortgage!!Estimate
Owner-occupied housing units with a mortgage,"773,346","773,346","110,440","110,440","1,189,431","1,189,431","427,028","427,028","5,076,532","5,076,532","1,093,793","1,093,793","613,144","613,144","188,136","188,136","99,094","99,094","3,340,147","3,340,147","1,716,193","1,716,193","194,384","194,384","325,585","325,585","2,076,167","2,076,167","1,224,947","1,224,947","569,841","569,841","457,161","457,161","713,064","713,064","634,635","634,635","263,969","263,969","1,144,228","1,144,228","1,140,776","1,140,776","1,732,766","1,732,766","1,077,331","1,077,331","400,757","400,757","1,025,532","1,025,532","173,218","173,218","314,939","314,939","477,464","477,464","246,601","246,601","1,439,808","1,439,808","322,308","322,308","2,450,786","2,450,786","1,780,136","1,780,136","115,720","115,720","1,986,293","1,986,293","553,189","553,189","706,584","706,584","2,125,767","2,125,767","186,491","186,491","886,903","886,903","138,389","138,389","1,100,176","1,100,176","3,884,497","3,884,497","550,963","550,963","125,477","125,477","1,523,575","1,523,575","1,299,364","1,299,364","259,892","259,892","1,036,422","1,036,422","101,109","101,109","318,187","318,187"
    VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Less than $50,000","32,992",4.30%,"2,071",1.90%,"28,652",2.40%,"18,189",4.30%,"70,874",1.40%,"15,843",1.40%,"10,956",1.80%,"5,322",2.80%,776,0.80%,"81,485",2.40%,"52,469",3.10%,"3,612",1.90%,"7,453",2.30%,"69,166",3.30%,"41,536",3.40%,"21,786",3.80%,"18,969",4.10%,"29,037",4.10%,"26,021",4.10%,"6,920",2.60%,"29,257",2.60%,"21,079",1.80%,"69,345",4.00%,"23,830",2.20%,"22,469",5.60%,"38,429",3.70%,"3,297",1.90%,"9,334",3.00%,"8,990",1.90%,"5,433",2.20%,"26,523",1.80%,"11,468",3.60%,"58,050",2.40%,"45,841",2.60%,"3,936",3.40%,"67,028",3.40%,"21,359",3.90%,"10,050",1.40%,"62,031",2.90%,"4,353",2.30%,"29,624",3.30%,"4,205",3.00%,"29,685",2.70%,"110,664",2.80%,"8,983",1.60%,"3,398",2.70%,"32,199",2.10%,"18,772",1.40%,"14,007",5.40%,"23,805",2.30%,"3,407",3.40%,"6,289",2.00%
"        $50,000 to $99,999","68,726",8.90%,"1,388",1.30%,"16,509",1.40%,"48,502",11.40%,"46,663",0.90%,"11,608",1.10%,"6,384",1.00%,"2,532",1.30%,422,0.40%,"67,620",2.00%,"74,266",4.30%,"2,449",1.30%,"5,626",1.70%,"161,515",7.80%,"114,975",9.40%,"59,997",10.50%,"48,865",10.70%,"62,122",8.70%,"43,852",6.90%,"12,724",4.80%,"16,173",1.40%,"9,449",0.80%,"127,266",7.30%,"31,656",2.90%,"58,065",14.50%,"77,562",7.60%,"3,597",2.10%,"20,226",6.40%,"3,032",0.60%,"3,047",1.20%,"20,512",1.40%,"17,101",5.30%,"116,257",4.70%,"82,162",4.60%,"6,697",5.80%,"176,170",8.90%,"51,075",9.20%,"7,165",1.00%,"143,982",6.80%,902,0.50%,"48,724",5.50%,"7,922",5.70%,"52,873",4.80%,"154,606",4.00%,"5,632",1.00%,"3,979",3.20%,"36,481",2.40%,"12,022",0.90%,"37,193",14.30%,"49,695",4.80%,"1,834",1.80%,"52,955",16.60%
"        $100,000 to $299,999","404,306",52.30%,"33,203",30.10%,"225,536",19.00%,"242,819",56.90%,"272,656",5.40%,"103,317",9.40%,"214,876",35.00%,"63,997",34.00%,"5,695",5.70%,"930,242",27.90%,"638,802",37.20%,"8,234",4.20%,"54,885",16.90%,"967,970",46.60%,"698,055",57.00%,"321,525",56.40%,"226,733",49.60%,"405,094",56.80%,"355,529",56.00%,"108,419",41.10%,"264,865",23.10%,"138,402",12.10%,"909,939",52.50%,"410,899",38.10%,"219,078",54.70%,"560,194",54.60%,"47,557",27.50%,"169,973",54.00%,"62,886",13.20%,"58,002",23.50%,"293,057",20.40%,"154,109",47.80%,"700,275",28.60%,"731,295",41.10%,"56,413",48.70%,"1,108,667",55.80%,"322,304",58.30%,"80,690",11.40%,"1,016,837",47.80%,"38,588",20.70%,"389,696",43.90%,"67,450",48.70%,"437,970",39.80%,"1,554,218",40.00%,"49,718",9.00%,"52,275",41.70%,"443,624",29.10%,"115,224",8.90%,"149,478",57.50%,"538,220",51.90%,"41,709",41.30%,"227,633",71.50%
"        $300,000 to $499,999","184,159",23.80%,"53,287",48.20%,"474,599",39.90%,"84,067",19.70%,"892,861",17.60%,"345,659",31.60%,"219,153",35.70%,"79,408",42.20%,"20,955",21.10%,"1,314,575",39.40%,"586,221",34.20%,"26,888",13.80%,"129,278",39.70%,"574,730",27.70%,"272,482",22.20%,"122,595",21.50%,"112,586",24.60%,"155,683",21.80%,"149,861",23.60%,"85,918",32.50%,"435,236",38.00%,"336,564",29.50%,"436,848",25.20%,"403,878",37.50%,"75,053",18.70%,"243,811",23.80%,"59,561",34.40%,"88,242",28.00%,"226,819",47.50%,"105,096",42.60%,"510,960",35.50%,"99,188",30.80%,"520,576",21.20%,"546,472",30.70%,"36,814",31.80%,"456,539",23.00%,"112,010",20.20%,"267,080",37.80%,"575,927",27.10%,"91,880",49.30%,"260,455",29.40%,"39,480",28.50%,"342,326",31.10%,"1,212,621",31.20%,"202,630",36.80%,"40,919",32.60%,"477,887",31.40%,"352,335",27.10%,"44,549",17.10%,"300,359",29.00%,"34,126",33.80%,"20,024",6.30%
"        $500,000 to $749,999","56,363",7.30%,"14,740",13.30%,"277,074",23.30%,"20,429",4.80%,"1,318,659",26.00%,"353,073",32.30%,"93,733",15.30%,"27,783",14.80%,"26,260",26.50%,"577,256",17.30%,"235,841",13.70%,"38,164",19.60%,"79,813",24.50%,"189,603",9.10%,"70,659",5.80%,"32,056",5.60%,"35,093",7.70%,"42,121",5.90%,"37,272",5.90%,"32,063",12.10%,"257,142",22.50%,"335,524",29.40%,"132,417",7.60%,"146,376",13.60%,"17,035",4.30%,"71,066",6.90%,"33,467",19.30%,"18,819",6.00%,"121,943",25.50%,"52,606",21.30%,"360,815",25.10%,"25,034",7.80%,"515,744",21.00%,"241,086",13.50%,"8,835",7.60%,"127,738",6.40%,"31,695",5.70%,"218,904",31.00%,"224,944",10.60%,"32,604",17.50%,"94,927",10.70%,"12,567",9.10%,"144,604",13.10%,"513,525",13.20%,"173,056",31.40%,"17,185",13.70%,"294,024",19.30%,"386,746",29.80%,"11,555",4.40%,"87,904",8.50%,"11,952",11.80%,"6,246",2.00%
"        $750,000 to $999,999","16,980",2.20%,"4,514",4.10%,"102,082",8.60%,"8,098",1.90%,"984,096",19.40%,"151,433",13.80%,"30,790",5.00%,"4,742",2.50%,"18,887",19.10%,"191,321",5.70%,"79,080",4.60%,"46,627",24.00%,"28,467",8.70%,"62,006",3.00%,"16,339",1.30%,"6,938",1.20%,"9,227",2.00%,"11,650",1.60%,"14,151",2.20%,"12,042",4.60%,"84,958",7.40%,"167,290",14.70%,"36,509",2.10%,"36,454",3.40%,"5,070",1.30%,"18,708",1.80%,"15,497",8.90%,"4,913",1.60%,"32,480",6.80%,"14,118",5.70%,"136,071",9.50%,"9,282",2.90%,"271,068",11.10%,"77,471",4.40%,"2,037",1.80%,"33,737",1.70%,"8,820",1.60%,"79,228",11.20%,"63,899",3.00%,"12,261",6.60%,"34,424",3.90%,"4,528",3.30%,"50,665",4.60%,"192,865",5.00%,"68,720",12.50%,"5,192",4.10%,"137,349",9.00%,"195,787",15.10%,"2,032",0.80%,"23,227",2.20%,"3,416",3.40%,"1,686",0.50%
"        $1,000,000 or more","9,820",1.30%,"1,237",1.10%,"64,979",5.50%,"4,924",1.20%,"1,490,723",29.40%,"112,860",10.30%,"37,252",6.10%,"4,352",2.30%,"26,099",26.30%,"177,648",5.30%,"49,514",2.90%,"68,410",35.20%,"20,063",6.20%,"51,177",2.50%,"10,901",0.90%,"4,944",0.90%,"5,688",1.20%,"7,357",1.00%,"7,949",1.30%,"5,883",2.20%,"56,597",4.90%,"132,468",11.60%,"20,442",1.20%,"24,238",2.20%,"3,987",1.00%,"15,762",1.50%,"10,242",5.90%,"3,432",1.10%,"21,314",4.50%,"8,299",3.40%,"91,870",6.40%,"6,126",1.90%,"268,816",11.00%,"55,809",3.10%,988,0.90%,"16,414",0.80%,"5,926",1.10%,"43,467",6.20%,"38,147",1.80%,"5,903",3.20%,"29,053",3.30%,"2,237",1.60%,"42,053",3.80%,"145,998",3.80%,"42,224",7.70%,"2,529",2.00%,"102,011",6.70%,"218,478",16.80%,"1,078",0.40%,"13,212",1.30%,"4,665",4.60%,"3,354",1.10%
        Median (dollars),"236,000","236,000","357,600","357,600","435,200","435,200","211,200","211,200","738,000","738,000","549,900","549,900","354,000","354,000","346,800","346,800","706,600","706,600","376,600","376,600","326,000","326,000","845,700","845,700","447,500","447,500","267,700","267,700","223,200","223,200","208,900","208,900","234,500","234,500","222,200","222,200","239,600","239,600","307,600","307,600","411,900","411,900","548,400","548,400","244,000","244,000","328,600","328,600","195,200","195,200","237,100","237,100","394,600","394,600","248,500","248,500","446,400","446,400","398,700","398,700","445,100","445,100","274,500","274,500","432,100","432,100","309,300","309,300","271,300","271,300","223,700","223,700","218,900","218,900","492,200","492,200","266,800","266,800","386,000","386,000","288,500","288,500","271,500","271,500","314,400","314,400","316,200","316,200","512,300","512,300","312,600","312,600","390,400","390,400","597,800","597,800","186,900","186,900","263,900","263,900","315,700","315,700","145,100","145,100"
    MORTGAGE STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        With a mortgage and either a second mortgage or home equity loan,"59,936",7.80%,"4,860",4.40%,"80,464",6.80%,"24,386",5.70%,"465,128",9.20%,"119,306",10.90%,"71,542",11.70%,"18,817",10.00%,"11,375",11.50%,"258,146",7.70%,"127,967",7.50%,"31,265",16.10%,"35,986",11.10%,"167,341",8.10%,"126,308",10.30%,"65,943",11.60%,"37,780",8.30%,"76,620",10.70%,"44,608",7.00%,"36,228",13.70%,"120,934",10.60%,"171,421",15.00%,"162,182",9.40%,"114,865",10.70%,"28,064",7.00%,"76,992",7.50%,"14,200",8.20%,"27,830",8.80%,"31,451",6.60%,"27,616",11.20%,"143,924",10.00%,"19,515",6.10%,"272,811",11.10%,"172,917",9.70%,"9,087",7.90%,"228,297",11.50%,"29,457",5.30%,"73,176",10.40%,"268,381",12.60%,"27,960",15.00%,"62,871",7.10%,"11,910",8.60%,"96,738",8.80%,"166,020",4.30%,"75,125",13.60%,"15,723",12.50%,"157,202",10.30%,"129,753",10.00%,"19,968",7.70%,"131,308",12.70%,"7,848",7.80%,"8,428",2.60%
            Only Second mortgage,"10,065",1.30%,776,0.70%,"12,488",1.00%,"6,874",1.60%,"71,460",1.40%,"16,698",1.50%,"11,393",1.90%,"3,116",1.70%,"2,618",2.60%,"44,125",1.30%,"21,141",1.20%,"3,892",2.00%,"6,546",2.00%,"27,062",1.30%,"14,566",1.20%,"13,636",2.40%,"6,476",1.40%,"10,551",1.50%,"12,630",2.00%,"2,319",0.90%,"18,667",1.60%,"16,585",1.50%,"16,501",1.00%,"22,191",2.10%,"6,001",1.50%,"10,915",1.10%,"2,135",1.20%,"6,072",1.90%,"5,520",1.20%,"1,927",0.80%,"14,927",1.00%,"7,461",2.30%,"25,966",1.10%,"16,259",0.90%,"2,605",2.30%,"25,648",1.30%,"8,972",1.60%,"8,301",1.20%,"29,480",1.40%,"3,496",1.90%,"9,259",1.00%,941,0.70%,"14,019",1.30%,"39,627",1.00%,"10,971",2.00%,"1,199",1.00%,"29,934",2.00%,"15,817",1.20%,"2,440",0.90%,"16,718",1.60%,"3,351",3.30%,"5,843",1.80%
            Only Home equity loan,"48,242",6.20%,"3,512",3.20%,"65,377",5.50%,"16,953",4.00%,"374,777",7.40%,"99,403",9.10%,"57,360",9.40%,"15,222",8.10%,"8,086",8.20%,"205,452",6.20%,"102,455",6.00%,"25,860",13.30%,"27,987",8.60%,"135,676",6.50%,"107,723",8.80%,"50,067",8.80%,"30,473",6.70%,"63,076",8.80%,"29,676",4.70%,"33,149",12.60%,"98,513",8.60%,"150,319",13.20%,"141,984",8.20%,"89,397",8.30%,"21,367",5.30%,"64,455",6.30%,"11,468",6.60%,"21,278",6.80%,"24,603",5.20%,"24,714",10.00%,"125,475",8.70%,"11,536",3.60%,"238,538",9.70%,"153,033",8.60%,"5,916",5.10%,"196,231",9.90%,"19,731",3.60%,"62,910",8.90%,"230,261",10.80%,"23,887",12.80%,"52,325",5.90%,"10,213",7.40%,"78,692",7.20%,"120,421",3.10%,"61,705",11.20%,"14,281",11.40%,"121,681",8.00%,"108,322",8.30%,"16,653",6.40%,"110,921",10.70%,"4,234",4.20%,"1,966",0.60%
            Both second mortgage and home equity loan,"1,629",0.20%,572,0.50%,"2,599",0.20%,559,0.10%,"18,891",0.40%,"3,205",0.30%,"2,789",0.50%,479,0.30%,671,0.70%,"8,569",0.30%,"4,371",0.30%,"1,513",0.80%,"1,453",0.40%,"4,603",0.20%,"4,019",0.30%,"2,240",0.40%,831,0.20%,"2,993",0.40%,"2,302",0.40%,760,0.30%,"3,754",0.30%,"4,517",0.40%,"3,697",0.20%,"3,277",0.30%,696,0.20%,"1,622",0.20%,597,0.30%,480,0.20%,"1,328",0.30%,975,0.40%,"3,522",0.20%,518,0.20%,"8,307",0.30%,"3,625",0.20%,566,0.50%,"6,418",0.30%,754,0.10%,"1,965",0.30%,"8,640",0.40%,577,0.30%,"1,287",0.10%,756,0.50%,"4,027",0.40%,"5,972",0.20%,"2,449",0.40%,243,0.20%,"5,587",0.40%,"5,614",0.40%,875,0.30%,"3,669",0.40%,263,0.30%,619,0.20%
        No second mortgage and no home equity loan,"692,388",89.50%,"103,696",93.90%,"1,091,711",91.80%,"395,679",92.70%,"4,537,791",89.40%,"954,998",87.30%,"515,650",84.10%,"162,971",86.60%,"86,105",86.90%,"3,000,719",89.80%,"1,556,819",90.70%,"155,444",80.00%,"280,743",86.20%,"1,854,107",89.30%,"1,055,274",86.10%,"487,168",85.50%,"409,241",89.50%,"612,500",85.90%,"579,172",91.30%,"212,075",80.30%,"994,455",86.90%,"923,742",81.00%,"1,511,462",87.20%,"936,084",86.90%,"362,228",90.40%,"927,919",90.50%,"154,402",89.10%,"280,526",89.10%,"440,129",92.20%,"208,556",84.60%,"1,234,041",85.70%,"298,839",92.70%,"2,061,250",84.10%,"1,551,726",87.20%,"104,100",90.00%,"1,658,653",83.50%,"515,438",93.20%,"619,032",87.60%,"1,716,077",80.70%,"149,443",80.10%,"799,414",90.10%,"124,036",89.60%,"978,597",88.90%,"3,655,919",94.10%,"462,898",84.00%,"103,938",82.80%,"1,323,242",86.90%,"1,143,676",88.00%,"232,108",89.30%,"869,055",83.90%,"92,082",91.10%,"308,957",97.10%
        Home equity loan without a primary mortgage,"21,022",2.70%,"1,884",1.70%,"17,256",1.50%,"6,963",1.60%,"73,613",1.50%,"19,489",1.80%,"25,952",4.20%,"6,348",3.40%,"1,614",1.60%,"81,282",2.40%,"31,407",1.80%,"7,675",3.90%,"8,856",2.70%,"54,719",2.60%,"43,365",3.50%,"16,730",2.90%,"10,140",2.20%,"23,944",3.40%,"10,855",1.70%,"15,666",5.90%,"28,839",2.50%,"45,613",4.00%,"59,122",3.40%,"26,382",2.40%,"10,465",2.60%,"20,621",2.00%,"4,616",2.70%,"6,583",2.10%,"5,884",1.20%,"10,429",4.20%,"61,843",4.30%,"3,954",1.20%,"116,725",4.80%,"55,493",3.10%,"2,533",2.20%,"99,343",5.00%,"8,294",1.50%,"14,376",2.00%,"141,309",6.60%,"9,088",4.90%,"24,618",2.80%,"2,443",1.80%,"24,841",2.30%,"62,558",1.60%,"12,940",2.30%,"5,816",4.60%,"43,131",2.80%,"25,935",2.00%,"7,816",3.00%,"36,059",3.50%,"1,179",1.20%,802,0.30%
    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
